Date,'',PS4 player count,
2017-03-07,,21000,
2017-03-08,,58700,
2017-03-09,,97800,
2017-03-10,,150800,
2017-03-11,,219500,
2017-03-12,,285400,
2017-03-13,,332400,
2017-03-14,,379900,
2017-03-15,,423400,
2017-03-16,,461500,
2017-03-17,,512300,
2017-03-18,,571100,
2017-03-19,,628800,
2017-03-20,,665600,
2017-03-21,,699200,
2017-03-22,,732600,
2017-03-23,,765100,
2017-03-24,,801800,
2017-03-25,,850000,
2017-03-26,,892400,
2017-03-27,,918700,
2017-03-28,,945600,
2017-03-29,,973500,
2017-03-30,,1001000,
2017-03-31,,1035800,
2017-04-01,,1078900,
2017-04-02,,1118300,
2017-04-03,,1143400,
2017-04-04,,1168900,
2017-04-05,,1191600,
2017-04-06,,1211300,
2017-04-07,,1233300,
2017-04-08,,1257800,
2017-04-09,,1279900,
2017-04-10,,1297400,
2017-04-11,,1314300,
2017-04-12,,1327800,
2017-04-13,,1342800,
2017-04-14,,1359000,
2017-04-15,,1374300,
2017-04-16,,1389700,
2017-04-17,,1401500,
2017-04-18,,1409400,
2017-04-19,,1419100,
2017-04-20,,1427900,
2017-04-21,,1438300,
2017-04-22,,1450200,
2017-04-23,,1462000,
2017-04-24,,1468200,
2017-04-25,,1474000,
2017-04-26,,1479700,
2017-04-27,,1486100,
2017-04-28,,1493500,
2017-04-29,,1502300,
2017-04-30,,1511900,
2017-05-01,,1520100,
2017-05-02,,1524800,
2017-05-03,,1529500,
2017-05-04,,1534100,
2017-05-05,,1541200,
2017-05-06,,1550100,
2017-05-07,,1558500,
2017-05-08,,1563400,
2017-05-09,,1567800,
2017-05-10,,1572700,
2017-05-11,,1577400,
2017-05-12,,1583000,
2017-05-13,,1590600,
2017-05-14,,1597900,
2017-05-15,,1601300,
2017-05-16,,1605400,
2017-05-17,,1609300,
2017-05-18,,1612900,
2017-05-19,,1618800,
2017-05-20,,1626800,
2017-05-21,,1633400,
2017-05-22,,1636700,
2017-05-23,,1640200,
2017-05-24,,1643700,
2017-05-25,,1647400,
2017-05-26,,1652200,
2017-05-27,,1659000,
2017-05-28,,1664900,
2017-05-29,,1669100,
2017-05-30,,1671800,
2017-05-31,,1675700,
2017-06-01,,1679800,
2017-06-02,,1684200,
2017-06-03,,1689500,
2017-06-04,,1694700,
2017-06-05,,1699300,
2017-06-06,,1702200,
2017-06-07,,1706600,
2017-06-08,,1710400,
2017-06-09,,1714300,
2017-06-10,,1719600,
2017-06-11,,1724200,
2017-06-12,,1728500,
2017-06-13,,1732100,
2017-06-14,,1735500,
2017-06-15,,1738900,
2017-06-16,,1743300,
2017-06-17,,1747700,
2017-06-18,,1751900,
2017-06-19,,1754900,
2017-06-20,,1758300,
2017-06-21,,1762500,
2017-06-22,,1766500,
2017-06-23,,1770500,
2017-06-24,,1774800,
2017-06-25,,1779700,
2017-06-26,,1784200,
2017-06-27,,1788100,
2017-06-28,,1791900,
2017-06-29,,1795600,
2017-06-30,,1800300,
2017-07-01,,1804400,
2017-07-02,,1809000,
2017-07-03,,1813000,
2017-07-04,,1816400,
2017-07-05,,1820000,
2017-07-06,,1824000,
2017-07-07,,1827900,
2017-07-08,,1831900,
2017-07-09,,1836600,
2017-07-10,,1840600,
2017-07-11,,1844900,
2017-07-12,,1849100,
2017-07-13,,1852800,
2017-07-14,,1856100,
2017-07-15,,1860800,
2017-07-16,,1864900,
2017-07-17,,1868000,
2017-07-18,,1871600,
2017-07-19,,1874900,
2017-07-20,,1878200,
2017-07-21,,1881300,
2017-07-22,,1884300,
2017-07-23,,1888600,
2017-07-24,,1891800,
2017-07-25,,1894300,
2017-07-26,,1897300,
2017-07-27,,1900400,
2017-07-28,,1903400,
2017-07-29,,1906900,
2017-07-30,,1910000,
2017-07-31,,1912300,
2017-08-01,,1915100,
2017-08-02,,1917600,
2017-08-03,,1920200,
2017-08-04,,1922600,
2017-08-05,,1925100,
2017-08-06,,1928100,
2017-08-07,,1930300,
2017-08-08,,1933100,
2017-08-09,,1935600,
2017-08-10,,1937500,
2017-08-11,,1940200,
2017-08-12,,1942900,
2017-08-13,,1945500,
2017-08-14,,1947600,
2017-08-15,,1949500,
2017-08-16,,1951200,
2017-08-17,,1952700,
2017-08-18,,1954900,
2017-08-19,,1958000,
2017-08-20,,1960400,
2017-08-21,,1962600,
2017-08-22,,1964200,
2017-08-23,,1965500,
2017-08-24,,1967600,
2017-08-25,,1969600,
2017-08-26,,1972300,
2017-08-27,,1974900,
2017-08-28,,1976600,
2017-08-29,,1978600,
2017-08-30,,1980500,
2017-08-31,,1982500,
2017-09-01,,1984600,
2017-09-02,,1987700,
2017-09-03,,1990600,
2017-09-04,,1993100,
2017-09-05,,1995000,
2017-09-06,,1996600,
2017-09-07,,1998400,
2017-09-08,,2000500,
2017-09-09,,2003500,
2017-09-10,,2006200,
2017-09-11,,2007800,
2017-09-12,,2009800,
2017-09-13,,2011100,
2017-09-14,,2012300,
2017-09-15,,2014000,
2017-09-16,,2016200,
2017-09-17,,2018200,
2017-09-18,,2019400,
2017-09-19,,2020500,
2017-09-20,,2021400,
2017-09-21,,2022300,
2017-09-22,,2023500,
2017-09-23,,2025900,
2017-09-24,,2028000,
2017-09-25,,2029500,
2017-09-26,,2030600,
2017-09-27,,2031800,
2017-09-28,,2032900,
2017-09-29,,2034700,
2017-09-30,,2036900,
2017-10-01,,2038100,
2017-10-02,,2039600,
2017-10-03,,2040800,
2017-10-04,,2042300,
2017-10-05,,2043500,
2017-10-06,,2045000,
2017-10-07,,2046700,
2017-10-08,,2048400,
2017-10-09,,2049500,
2017-10-10,,2050500,
2017-10-11,,2051800,
2017-10-12,,2052800,
2017-10-13,,2053800,
2017-10-14,,2055700,
2017-10-15,,2057600,
2017-10-16,,2058400,
2017-10-17,,2059500,
2017-10-18,,2060200,
2017-10-19,,2061200,
2017-10-20,,2062600,
2017-10-21,,2064200,
2017-10-22,,2066200,
2017-10-23,,2067500,
2017-10-24,,2068200,
2017-10-25,,2068700,
2017-10-26,,2069900,
2017-10-27,,2071200,
2017-10-28,,2072600,
2017-10-29,,2074600,
2017-10-30,,2075700,
2017-10-31,,2076700,
2017-11-01,,2077800,
2017-11-02,,2078600,
2017-11-03,,2080100,
2017-11-04,,2081900,
2017-11-05,,2083700,
2017-11-06,,2084900,
2017-11-07,,2085900,
2017-11-08,,2086900,
2017-11-09,,2088000,
2017-11-10,,2088900,
2017-11-11,,2090800,
2017-11-12,,2092300,
2017-11-13,,2093100,
2017-11-14,,2093900,
2017-11-15,,2094500,
2017-11-16,,2095400,
2017-11-17,,2096500,
2017-11-18,,2097900,
2017-11-19,,2099500,
2017-11-20,,2100100,
2017-11-21,,2100800,
2017-11-22,,2102200,
2017-11-23,,2102900,
2017-11-24,,2104700,
2017-11-25,,2106700,
2017-11-26,,2108000,
2017-11-27,,2108500,
2017-11-28,,2109600,
2017-11-29,,2110400,
2017-11-30,,2111100,
2017-12-01,,2111900,
2017-12-02,,2113400,
2017-12-03,,2115200,
2017-12-04,,2116000,
2017-12-05,,2116700,
2017-12-06,,2117200,
2017-12-07,,2118300,
2017-12-08,,2119000,
2017-12-09,,2120200,
2017-12-10,,2121500,
2017-12-11,,2122300,
2017-12-12,,2122800,
2017-12-13,,2123500,
2017-12-14,,2124000,
2017-12-15,,2125000,
2017-12-16,,2126400,
2017-12-17,,2127300,
2017-12-18,,2128000,
2017-12-19,,2128800,
2017-12-20,,2129500,
2017-12-21,,2130700,
2017-12-22,,2131700,
2017-12-23,,2132800,
2017-12-24,,2134300,
2017-12-25,,2136000,
2017-12-26,,2137400,
2017-12-27,,2139400,
2017-12-28,,2141200,
2017-12-29,,2142500,
2017-12-30,,2144000,
2017-12-31,,2146000,
2018-01-01,,2147500,
2018-01-02,,2149000,
2018-01-03,,2150000,
2018-01-04,,2151200,
2018-01-05,,2152400,
2018-01-06,,2153400,
2018-01-07,,2154700,
2018-01-08,,2155400,
2018-01-09,,2156200,
2018-01-10,,2157500,
2018-01-11,,2158300,
2018-01-12,,2159500,
2018-01-13,,2161200,
2018-01-14,,2162100,
2018-01-15,,2163200,
2018-01-16,,2163900,
2018-01-17,,2164600,
2018-01-18,,2165400,
2018-01-19,,2165800,
2018-01-20,,2167000,
2018-01-21,,2168300,
2018-01-22,,2168900,
2018-01-23,,2169800,
2018-01-24,,2170500,
2018-01-25,,2171400,
2018-01-26,,2172200,
2018-01-27,,2173500,
2018-01-28,,2174800,
2018-01-29,,2175400,
2018-01-30,,2176100,
2018-01-31,,2176800,
2018-02-01,,2177400,
2018-02-02,,2178300,
2018-02-03,,2179100,
2018-02-04,,2180200,
2018-02-05,,2180800,
2018-02-06,,2181200,
2018-02-07,,2181600,
2018-02-08,,2182200,
2018-02-09,,2183800,
2018-02-10,,2185600,
2018-02-11,,2186800,
2018-02-12,,2187900,
2018-02-13,,2189000,
2018-02-14,,2189900,
2018-02-15,,2190900,
2018-02-16,,2192200,
2018-02-17,,2193600,
2018-02-18,,2194600,
2018-02-19,,2195400,
2018-02-20,,2196100,
2018-02-21,,2196700,
2018-02-22,,2197200,
2018-02-23,,2197900,
2018-02-24,,2199600,
2018-02-25,,2201000,
2018-02-26,,2201800,
2018-02-27,,2202400,
2018-02-28,,2202800,
2018-03-01,,2203900,
2018-03-02,,2205000,
2018-03-03,,2206500,
2018-03-04,,2207300,
2018-03-05,,2207600,
2018-03-06,,2208400,
2018-03-07,,2209000,
2018-03-08,,2209900,
2018-03-09,,2211100,
2018-03-10,,2212000,
2018-03-11,,2213100,
2018-03-12,,2213700,
2018-03-13,,2214300,
2018-03-14,,2215000,
2018-03-15,,2215800,
2018-03-16,,2217100,
2018-03-17,,2218300,
2018-03-18,,2219500,
2018-03-19,,2220200,
2018-03-20,,2220900,
2018-03-21,,2221400,
2018-03-22,,2222200,
2018-03-23,,2223500,
2018-03-24,,2224700,
2018-03-25,,2225800,
2018-03-26,,2226900,
2018-03-27,,2227600,
2018-03-28,,2228000,
2018-03-29,,2228900,
2018-03-30,,2230200,
2018-03-31,,2231700,
2018-04-01,,2232600,
2018-04-02,,2233700,
2018-04-03,,2234300,
2018-04-04,,2235100,
2018-04-05,,2236000,
2018-04-06,,2236800,
2018-04-07,,2237700,
2018-04-08,,2239100,
2018-04-09,,2239800,
2018-04-10,,2240100,
2018-04-11,,2240500,
2018-04-12,,2241400,
2018-04-13,,2242300,
2018-04-14,,2243400,
2018-04-15,,2244600,
2018-04-16,,2244900,
2018-04-17,,2245500,
2018-04-18,,2246200,
2018-04-19,,2247000,
2018-04-20,,2247600,
2018-04-21,,2248200,
2018-04-22,,2249200,
2018-04-23,,2249800,
2018-04-24,,2250100,
2018-04-25,,2250700,
2018-04-26,,2251200,
2018-04-27,,2252000,
2018-04-28,,2252900,
2018-04-29,,2253700,
2018-04-30,,2254500,
2018-05-01,,2255000,
2018-05-02,,2255300,
2018-05-03,,2255600,
2018-05-04,,2255800,
2018-05-05,,2256300,
2018-05-06,,2256600,
2018-05-07,,2257000,
2018-05-08,,2257000,
2018-05-09,,2257300,
2018-05-10,,2258000,
2018-05-11,,2258300,
2018-05-12,,2258900,
2018-05-13,,2259200,
2018-05-14,,2259500,
2018-05-15,,2259700,
2018-05-16,,2259800,
2018-05-17,,2259900,
2018-05-18,,2260100,
2018-05-19,,2260400,
2018-05-20,,2261000,
2018-05-21,,2261200,
2018-05-22,,2261500,
2018-05-23,,2261500,
2018-05-24,,2261800,
2018-05-25,,2262200,
2018-05-26,,2262800,
2018-05-27,,2263000,
2018-05-28,,2263500,
2018-05-29,,2263900,
2018-05-30,,2264200,
2018-05-31,,2264600,
2018-06-01,,2264600,
2018-06-02,,2264800,
2018-06-03,,2265200,
2018-06-04,,2265600,
2018-06-05,,2265900,
2018-06-06,,2266200,
2018-06-07,,2266700,
2018-06-08,,2266900,
2018-06-09,,2267300,
2018-06-10,,2267700,
2018-06-11,,2268100,
2018-06-12,,2268300,
2018-06-13,,2268500,
2018-06-14,,2268800,
2018-06-15,,2269100,
2018-06-16,,2269400,
2018-06-17,,2269800,
2018-06-18,,2270200,
2018-06-19,,2270600,
2018-06-20,,2270800,
2018-06-21,,2271000,
2018-06-22,,2271400,
2018-06-23,,2271700,
2018-06-24,,2272100,
2018-06-25,,2272400,
2018-06-26,,2272700,
2018-06-27,,2272900,
2018-06-28,,2273400,
2018-06-29,,2273800,
2018-06-30,,2274100,
2018-07-01,,2274700,
2018-07-02,,2274900,
2018-07-03,,2275300,
2018-07-04,,2275700,
2018-07-05,,2275900,
2018-07-06,,2276500,
2018-07-07,,2276800,
2018-07-08,,2277000,
2018-07-09,,2277200,
2018-07-10,,2277600,
2018-07-11,,2277700,
2018-07-12,,2278000,
2018-07-13,,2278300,
2018-07-14,,2278500,
2018-07-15,,2278700,
2018-07-16,,2278900,
2018-07-17,,2279300,
2018-07-18,,2279500,
2018-07-19,,2279800,
2018-07-20,,2280300,
2018-07-21,,2280700,
2018-07-22,,2281100,
2018-07-23,,2281300,
2018-07-24,,2281300,
2018-07-25,,2281500,
2018-07-26,,2281700,
2018-07-27,,2282200,
2018-07-28,,2282500,
2018-07-29,,2282900,
2018-07-30,,2283400,
2018-07-31,,2283600,
2018-08-01,,2284000,
2018-08-02,,2284200,
2018-08-03,,2284400,
2018-08-04,,2284800,
2018-08-05,,2285200,
2018-08-06,,2285900,
2018-08-07,,2286300,
2018-08-08,,2286500,
2018-08-09,,2286800,
2018-08-10,,2287200,
2018-08-11,,2287500,
2018-08-12,,2287800,
2018-08-13,,2288000,
2018-08-14,,2288400,
2018-08-15,,2288600,
2018-08-16,,2288900,
2018-08-17,,2289100,
2018-08-18,,2289600,
2018-08-19,,2290100,
2018-08-20,,2290300,
2018-08-21,,2290600,
2018-08-22,,2290800,
2018-08-23,,2291100,
2018-08-24,,2291300,
2018-08-25,,2291500,
2018-08-26,,2291900,
2018-08-27,,2292100,
2018-08-28,,2292100,
2018-08-29,,2292200,
2018-08-30,,2292600,
2018-08-31,,2293000,
2018-09-01,,2293400,
2018-09-02,,2293800,
2018-09-03,,2293900,
2018-09-04,,2294000,
2018-09-05,,2294200,
2018-09-06,,2294200,
2018-09-07,,2294300,
2018-09-08,,2294800,
2018-09-09,,2295400,
2018-09-10,,2295800,
2018-09-11,,2296000,
2018-09-12,,2296200,
2018-09-13,,2296500,
2018-09-14,,2296700,
2018-09-15,,2297000,
2018-09-16,,2297300,
2018-09-17,,2297300,
2018-09-18,,2297500,
2018-09-19,,2297500,
2018-09-20,,2297700,
2018-09-21,,2298000,
2018-09-22,,2298400,
2018-09-23,,2298600,
2018-09-24,,2298700,
2018-09-25,,2298800,
2018-09-26,,2298900,
2018-09-27,,2299200,
2018-09-28,,2299500,
2018-09-29,,2299700,
2018-09-30,,2299900,
2018-10-01,,2300200,
2018-10-02,,2300500,
2018-10-03,,2300700,
2018-10-04,,2300900,
2018-10-05,,2301200,
2018-10-06,,2301700,
2018-10-07,,2302100,
2018-10-08,,2302400,
2018-10-09,,2302600,
2018-10-10,,2302600,
2018-10-11,,2302900,
2018-10-12,,2303300,
2018-10-13,,2303500,
2018-10-14,,2304000,
2018-10-15,,2304100,
2018-10-16,,2304200,
2018-10-17,,2304400,
2018-10-18,,2304400,
2018-10-19,,2304600,
2018-10-20,,2304800,
2018-10-21,,2305100,
2018-10-22,,2305200,
2018-10-23,,2305300,
2018-10-24,,2305300,
2018-10-25,,2305600,
2018-10-26,,2305700,
2018-10-27,,2305900,
2018-10-28,,2306000,
2018-10-29,,2306000,
2018-10-30,,2306200,
2018-10-31,,2306200,
2018-11-01,,2306600,
2018-11-02,,2306800,
2018-11-03,,2307000,
2018-11-04,,2307300,
2018-11-05,,2307500,
2018-11-06,,2307700,
2018-11-07,,2307900,
2018-11-08,,2308200,
2018-11-09,,2308300,
2018-11-10,,2308900,
2018-11-11,,2309300,
2018-11-12,,2309600,
2018-11-13,,2309700,
2018-11-14,,2309900,
2018-11-15,,2310000,
2018-11-16,,2310300,
2018-11-17,,2310600,
2018-11-18,,2311000,
2018-11-19,,2311200,
2018-11-20,,2311400,
2018-11-21,,2311700,
2018-11-22,,2311800,
2018-11-23,,2312100,
2018-11-24,,2312400,
2018-11-25,,2312600,
2018-11-26,,2312800,
2018-11-27,,2313100,
2018-11-28,,2313300,
2018-11-29,,2313400,
2018-11-30,,2313500,
2018-12-01,,2313800,
2018-12-02,,2314000,
2018-12-03,,2314200,
2018-12-04,,2314200,
2018-12-05,,2314200,
2018-12-06,,2314400,
2018-12-07,,2314500,
2018-12-08,,2315000,
2018-12-09,,2315100,
2018-12-10,,2315400,
2018-12-11,,2315600,
2018-12-12,,2315800,
2018-12-13,,2316000,
2018-12-14,,2316200,
2018-12-15,,2316500,
2018-12-16,,2316800,
2018-12-17,,2316900,
2018-12-18,,2317200,
2018-12-19,,2317500,
2018-12-20,,2317600,
2018-12-21,,2317900,
2018-12-22,,2318000,
2018-12-23,,2318500,
2018-12-24,,2318900,
2018-12-25,,2319400,
2018-12-26,,2319600,
2018-12-27,,2320300,
2018-12-28,,2320500,
2018-12-29,,2320600,
2018-12-30,,2320900,
2018-12-31,,2321400,
2019-01-01,,2321900,
2019-01-02,,2321900,
2019-01-03,,2322100,
2019-01-04,,2322400,
2019-01-05,,2322800,
2019-01-06,,2322900,
2019-01-07,,2323100,
2019-01-08,,2323200,
2019-01-09,,2323400,
2019-01-10,,2323500,
2019-01-11,,2323600,
2019-01-12,,2324000,
